epoch r_square
1 0.7533
2 0.7899
3 0.8020
4 0.8124
5 0.8116
6 0.8281
7 0.8188
8 0.8324
9 0.8368
10 0.8358
11 0.8280
12 0.8382
13 0.8359
14 0.8438
15 0.8545
16 0.8482
17 0.8475
18 0.8475
19 0.8152
20 0.8543
21 0.8574
22 0.8451
23 0.8381
24 0.8462
25 0.8543
26 0.8441
27 0.8524
28 0.8451
29 0.8454
30 0.8511
31 0.8575
32 0.8566
33 0.8575
34 0.8567
35 0.8539
36 0.8577
37 0.8569
38 0.8567
39 0.8513
40 0.8581
41 0.8553
42 0.8511
43 0.8494
44 0.8418
45 0.8584
46 0.8519
47 0.8533
48 0.8519
49 0.8503
50 0.8546
51 0.8550
52 0.8594
53 0.8519
54 0.8650
55 0.8531
56 0.8585
57 0.8608
58 0.8576
59 0.8613
60 0.8607
61 0.8549
62 0.8571
63 0.8484
64 0.8637
65 0.8568
66 0.8534
67 0.8547
68 0.8474
69 0.8605
70 0.8534
71 0.8601
72 0.8585
73 0.8529
74 0.8553
75 0.8571
76 0.8554
77 0.8575
78 0.8593
79 0.8549
80 0.8569
81 0.8577
82 0.8574
83 0.8561
84 0.8554
85 0.8573
86 0.8528
87 0.8589
88 0.8562
89 0.8467
90 0.8574
91 0.8584
92 0.8505
93 0.8596
94 0.8573
95 0.8527
96 0.8545
97 0.8504
98 0.8560
99 0.8598
100 0.8526
101 0.8591
102 0.8601
103 0.8560
104 0.8567
